,delta (0.5-4 Hz),theta (4-8 Hz),alpha (8-12 Hz),beta (12-30 Hz),gamma (30-100 Hz)
MEG2042,5.785823473717136e-24,4.703681144821799e-24,3.9013053645457596e-24,5.837038284345403e-24,6.98295675958419e-24
MEG2043,6.665474654794342e-24,3.8651913574155004e-24,5.7922136867850276e-24,6.867674498475022e-24,7.074409037547055e-24
MEG2112,1.5460829329948974e-23,8.370224682039533e-24,1.0394655464284264e-23,1.2127764788947732e-23,1.0801081758702029e-23
MEG2113,8.68792859481826e-24,6.728995825091752e-24,8.39025160945295e-24,9.187240118670086e-24,1.309167175678028e-23
MEG2122,1.1625528779486475e-23,8.455399775011239e-24,6.256806433007683e-24,9.500796344603509e-24,1.1729333097269478e-23
MEG2123,1.5768323838971703e-23,8.686423956324734e-24,7.88833465035926e-24,1.3306900355598082e-23,1.800979317654587e-23
MEG2132,6.914365931306595e-24,5.0071947419337806e-24,6.475364847353957e-24,1.8182894213893277e-23,2.4382307583498838e-23
MEG2133,1.3953701488534256e-23,6.679696543893446e-24,6.541103986163308e-24,1.5104363963303095e-23,4.2274573803578905e-23
MEG2142,9.288071472821493e-24,6.775334658688886e-24,9.366986954543884e-24,2.5030742728453823e-23,6.372706929245314e-23
MEG2143,1.2092633150616321e-23,5.208730497935442e-24,4.512758576452591e-24,1.0935405813555825e-23,2.6088771597164573e-23
MEG2212,4.5004399044160675e-24,3.783096726272466e-24,2.9443789315026574e-24,5.27384568462063e-24,9.359145894086109e-24
MEG2213,2.45156375055303e-24,1.656296749029144e-24,1.3450743439794836e-24,2.856253724930903e-24,5.581598245521052e-24
MEG2222,3.8472258159499375e-24,2.573507729607249e-24,2.4186548955637233e-24,3.2090841575710148e-24,4.5519354456725854e-24
MEG2223,4.2597049356595e-24,3.212543758656557e-24,3.4301988076000895e-24,4.359605583306362e-24,6.244906438623266e-24
MEG2232,2.7905015239176824e-24,2.0506857548422572e-24,2.108655167237673e-24,3.1402505862465808e-24,4.7261751239707086e-24
MEG2233,3.7348937589086285e-24,2.9688614594795497e-24,3.6578776103591445e-24,4.252262975652779e-24,5.97407785359019e-24
MEG2242,1.829365583774707e-24,1.5063681794469034e-24,1.1906353219218775e-24,2.4355880840479253e-24,4.515676415372244e-24
MEG2243,3.175995517841366e-24,1.9093015876860483e-24,2.0701082469944206e-24,3.469664981840171e-24,5.228577751397898e-24
MEG2312,6.65595079693583e-24,5.4674953351973005e-24,6.886313114533259e-24,7.025373954279394e-24,8.450820143672388e-24
